data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.0118,True,True,False,True
medqa_5_options,f1(macro),0.0196,True,True,False,True
medqa_4_options,acc,0.0165,True,True,False,True
medqa_4_options,f1(macro),0.0204,True,True,False,True
kormedmcqa_pharm,acc,0.0463,True,True,False,True
kormedmcqa_pharm,f1(macro),0.0629,True,True,False,True
kormedmcqa_nurse,acc,0.0569,True,True,False,True
kormedmcqa_nurse,f1(macro),0.0793,True,True,False,True
kormedmcqa_doctor,acc,0.0598,True,True,False,True
kormedmcqa_doctor,f1(macro),0.0763,True,True,False,True
kormedmcqa_dentist,acc,0.0407,True,True,False,True
kormedmcqa_dentist,f1(macro),0.0577,True,True,False,True
medqa_5_options,acc,0.1815,False,False,False,False
medqa_5_options,f1(macro),0.1631,False,False,False,False
medqa_4_options,acc,0.227,False,False,False,False
medqa_4_options,f1(macro),0.1591,False,False,False,False
kormedmcqa_dentist,acc,0.1689,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1671,False,False,False,False
kormedmcqa_doctor,acc,0.1954,False,False,False,False
kormedmcqa_doctor,f1(macro),0.1783,False,False,False,False
kormedmcqa_nurse,acc,0.2528,False,False,False,False
kormedmcqa_nurse,f1(macro),0.2341,False,False,False,False
kormedmcqa_pharm,acc,0.2045,False,False,False,False
kormedmcqa_pharm,f1(macro),0.1941,False,False,False,False
