data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.2561,True,True,False,True
medqa_5_options,f1(macro),0.2011,True,True,False,True
medqa_4_options,acc,0.3001,True,True,False,True
medqa_4_options,f1(macro),0.2082,True,True,False,True
kormedmcqa_pharm,acc,0.2215,True,True,False,True
kormedmcqa_pharm,f1(macro),0.1782,True,True,False,True
kormedmcqa_nurse,acc,0.2449,True,True,False,True
kormedmcqa_nurse,f1(macro),0.1794,True,True,False,True
kormedmcqa_doctor,acc,0.2161,True,True,False,True
kormedmcqa_doctor,f1(macro),0.1753,True,True,False,True
kormedmcqa_dentist,acc,0.2096,True,True,False,True
kormedmcqa_dentist,f1(macro),0.1535,True,True,False,True
medqa_5_options,acc,0.2867,False,False,False,False
medqa_5_options,f1(macro),0.2505,False,False,False,False
medqa_4_options,acc,0.3464,False,False,False,False
medqa_4_options,f1(macro),0.3044,False,False,False,False
kormedmcqa_dentist,acc,0.2293,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1889,False,False,False,False
kormedmcqa_doctor,acc,0.2506,False,False,False,False
kormedmcqa_doctor,f1(macro),0.1899,False,False,False,False
kormedmcqa_nurse,acc,0.2722,False,False,False,False
kormedmcqa_nurse,f1(macro),0.2311,False,False,False,False
kormedmcqa_pharm,acc,0.2542,False,False,False,False
kormedmcqa_pharm,f1(macro),0.2294,False,False,False,False
medqa_5_options,acc,0.2419,False,True,False,False
medqa_5_options,f1(macro),0.1628,False,True,False,False
medqa_4_options,acc,0.2891,False,True,False,False
medqa_4_options,f1(macro),0.1739,False,True,False,False
kormedmcqa_dentist,acc,0.233,False,True,False,False
kormedmcqa_dentist,f1(macro),0.1752,False,True,False,False
kormedmcqa_doctor,acc,0.1977,False,True,False,False
kormedmcqa_doctor,f1(macro),0.1458,False,True,False,False
kormedmcqa_nurse,acc,0.3098,False,True,False,False
kormedmcqa_nurse,f1(macro),0.2503,False,True,False,False
kormedmcqa_pharm,acc,0.2452,False,True,False,False
kormedmcqa_pharm,f1(macro),0.1912,False,True,False,False
